Created,Title,Content
6/19/23,The Journey Within: Exploring the Path of Bhakti,"Rather, true bhakti is motivated by the desire to please the Supreme Beloved through loving service"
6/19/23,The Journey Within: Exploring the Path of Bhakti,"To paraphrase Albert Einstein, We cannot solve our problems with the same thinking we used to create them"
6/19/23,The Journey Within: Exploring the Path of Bhakti,"If were grateful, patient, and faithful during bright periods and dark, the light of grace will shine upon us"
6/19/23,The Journey Within: Exploring the Path of Bhakti,"well spend all our time between birth and death suffering and enjoying what we can, but well never find peace"
6/19/23,The Journey Within: Exploring the Path of Bhakti,"Although it may seem that lying is a way out of unwanted complications, telling lies taints relationships and ones own heart"
6/19/23,The Journey Within: Exploring the Path of Bhakti,"essence of our spirituality and its practices and focus on their true goal, leaving aside the unnecessary distractions of sectarianism"
6/19/23,The Journey Within: Exploring the Path of Bhakti,"We dont have to kill the ego to become humble; we have to realize our real ego, or self, by liberating it from the false ego and be true to ourselves"
6/19/23,The Journey Within: Exploring the Path of Bhakti,"holy life should not eat too much or too little or sleep too much or too little. They should give proper time to work, recreation, and their spiritual practices"
6/19/23,The Journey Within: Exploring the Path of Bhakti,"She recognized him: her merciless husband. He asked her forgiveness and she forgave him. She also gave him shelter in the orphanage, not as his wife but as a mother"
6/19/23,The Journey Within: Exploring the Path of Bhakti,"The practical lesson in all of this is that no matter what challenges await us, how we choose to respond to them determines our destiny in this life and in the next"
6/19/23,The Journey Within: Exploring the Path of Bhakti,Higher than dull matter are the senses. Higher than the senses is the mind. Higher than the mind is the intelligence. Higher than the intelligence is the immortal self
6/19/23,The Journey Within: Exploring the Path of Bhakti,"One whose happiness is within, who is active and rejoices within and whose aim is within, is actually a perfect mystic. Such a person ultimately attains the Supreme. —BHAGAVAD GITA 5.24"
6/19/23,The Journey Within: Exploring the Path of Bhakti,"Like salt, true yogis serve without wanting recognition or praise. They are happy to give credit to others and interested simply in doing their best to give pleasure to the Divine and benefit others"
6/19/23,The Journey Within: Exploring the Path of Bhakti,"impossible. To love you have to climb out of the cradle, where everything is getting, and grow up to the maturity of giving, without concern for getting anything special in return. —THOMAS MERTON, LOVE AND LIVING"
6/19/23,The Journey Within: Exploring the Path of Bhakti,Regular study of sacred texts and association with sincere practitioners nourish us and provide a perspective that allows us to contemplate the nature of the self and view every aspect of our lives through the lens of timeless wisdom
6/19/23,The Journey Within: Exploring the Path of Bhakti,"the more we expand our consciousness, the smaller we feel, because when we see ourselves in truth, the actual definition of humility, we realize were just a small, loving part of God, interconnected with the whole creation, and the servant of all beings"
6/19/23,The Journey Within: Exploring the Path of Bhakti,"she would become a mother to homeless, orphaned children. She began to collect them around her. To feed them, she sang and begged for money on railway platforms. She protected them while they slept in whatever place they could find that was relatively safe"
6/19/23,The Journey Within: Exploring the Path of Bhakti,"The heart is like a field, and wisdom like a seed. A seed will grow only in a field that has been properly tilled and fertilized. We till the field of the heart through humility, gratitude, and service to others, remaining eager to learn despite obstacles. And love grows alongside wisdom when we cultivate these qualities"
6/19/23,The Journey Within: Exploring the Path of Bhakti,"Consider the Himalayan musk deer. The male is born with a gland that, when mature, releases one of the most treasured fragrances in the world: musk. The deer, having smelled this alluring aroma produced by its own body, roams the forest seeking its source. In this fruitless quest, the deer never realizes that what its looking for is actually within itself. We are very much like that deer"
6/19/23,The Journey Within: Exploring the Path of Bhakti,"Every morning I sit down to meditate on the divine sound of my mantra. Anyone who meditates knows what comes next: my mind races through whatever I struggled with yesterday (or will grapple with today) or, if not my problems, then the problems of my loved ones, or it chews on an old argument, or gets lost in memory (the joy of the first Chevrolet I ever owned, or the shame of striking out and losing the championship game for my Little League baseball team, for example). If someone is baking in the next room, I can switch in an instant from meditation on my mantra to meditation on cookies. At some point, Ill become aware of the wandering mind and ask myself, What happened to the mantra?"
6/16/23,Anima: Anatomy of a Personified Notion,(anima mundi)
6/16/23,Anima: Anatomy of a Personified Notion,early Christian struggle with sexuality evoked by the anima
6/16/23,Anima: Anatomy of a Personified Notion,It is implied that the anima as function is superior to the anima personified
6/16/23,Anima: Anatomy of a Personified Notion,since by making them conscious we convert them into bridges to the unconscious
6/16/23,Anima: Anatomy of a Personified Notion,Still today I defend myself against her with both idealizations and skepticism
6/16/23,Anima: Anatomy of a Personified Notion,is because we are not using them purposefully as functions that they remain personified complexes
6/16/23,Anima: Anatomy of a Personified Notion,unconscious contents no longer remain unconscious and no longer express themselves indirectly as animus and anima phenomena
6/16/23,Anima: Anatomy of a Personified Notion,"she is continually weaving, stewing, and enchanting consciousness into passionate attachments away from the vantage point of a perspective"
6/16/23,Anima: Anatomy of a Personified Notion,"The unconscious anima is a creature without relationships, an autoerotic being whose one aim is to take total possession of the individual"
6/16/23,Anima: Anatomy of a Personified Notion,To depersonify anima—if this is truly possible at all—would serve only one psychological purpose: to keep the ego forever in its heroic stance
6/16/23,Anima: Anatomy of a Personified Notion,So the anima always presents heroic consciousness with a moral dilemma. But the moral dilemma is in the nature of the ego and not in the nature of the anima
6/13/23,The Agony of Eros (Untimely Meditations Book 1),inferno of the same
6/13/23,The Agony of Eros (Untimely Meditations Book 1),impossibility of love that has led to depression
6/13/23,The Agony of Eros (Untimely Meditations Book 1),Finding success validates the One through the Other
6/13/23,The Agony of Eros (Untimely Meditations Book 1),set of monetary interests that now govern all conduct
6/13/23,The Agony of Eros (Untimely Meditations Book 1),pornography is nothing other than the profanation of eros
6/13/23,The Agony of Eros (Untimely Meditations Book 1),Erotic experience presumes the asymmetry and exteriority of the Other
6/13/23,The Agony of Eros (Untimely Meditations Book 1),"cares only for agreement, agreeability, and narcissistic gratification"
6/13/23,The Agony of Eros (Untimely Meditations Book 1),"We are constantly comparing one thing to another, thereby flattening them into the Same"
6/13/23,The Agony of Eros (Untimely Meditations Book 1),The subject of self-love draws a negative boundary between him- or herself and the Other
6/13/23,The Agony of Eros (Untimely Meditations Book 1),possessing sufficient courage to accept self-negation for the sake of discovering the Other
6/13/23,The Agony of Eros (Untimely Meditations Book 1),pure exteriority—the wholly Other—represents a catastrophe for the ordinary balance of the subject
6/13/23,The Agony of Eros (Untimely Meditations Book 1),"Eros concerns the Other in the strong sense, namely, what cannot be encompassed by the regime of the ego"
6/13/23,The Agony of Eros (Untimely Meditations Book 1),society of the consumer endeavors to eliminate atopic otherness in favor of consumable—heterotopic—differences
6/13/23,The Agony of Eros (Untimely Meditations Book 1),"Eros pulls the subject out of itself, toward the Other. Depression, in contrast, plunges the subject into itself"
6/13/23,The Agony of Eros (Untimely Meditations Book 1),"Melancholia, is a desastrum, which sets fatality in motion. At the same time, however, it is a negative, emanating a healing, cleansing effect"
6/13/23,The Agony of Eros (Untimely Meditations Book 1),"Justine places Bruegels Land of Cockaigne next to an illustration by William Blake, which depicts a slave suspended by the ribs, but still alive"
6/13/23,The Agony of Eros (Untimely Meditations Book 1),Meaning can exist for the narcissistic self only when it somehow catches sight of itself. It wallows in its own shadow everywhere until it drowns—in itself
6/13/23,The Agony of Eros (Untimely Meditations Book 1),"Capitalism is aggravating the pornographication of society by making everything a commodity and putting it on display. Knowing no other use for sexuality, it profanes eros—into porn"
6/13/23,The Agony of Eros (Untimely Meditations Book 1),"A singular process of weakening lays hold of the subject of love—which, however, is accompanied by a feeling of strength. This feeling is not the achievement of the One, but the gift of the Other"
6/13/23,The Agony of Eros (Untimely Meditations Book 1),"Eros, in contrast, makes possible experience of the Others otherness, which leads the One out of a narcissistic inferno. It sets into motion freely willed self-renunciation, freely willed self-evacuation"
6/13/23,The Agony of Eros (Untimely Meditations Book 1),"In the inferno of the same, the arrival of the atopic Other can assume apocalyptic form. In other words: today, only an apocalypse can liberate—indeed, redeem—us from the inferno of the same, and lead us toward the Other"
6/11/23,Siddhartha (with Biographical Afterword): A Novel,"his father appeared, lonely, mourning for his son"
6/11/23,Siddhartha (with Biographical Afterword): A Novel,I dont differentiate much between thoughts and words
6/11/23,Siddhartha (with Biographical Afterword): A Novel,And could you in any way protect your son from Sansara?
6/11/23,Siddhartha (with Biographical Afterword): A Novel,"His goal attracts him, because he doesnt let anything enter his soul"
6/11/23,Siddhartha (with Biographical Afterword): A Novel,"Writing is good, thinking is better. Being smart is good, being patient is better"
6/11/23,Siddhartha (with Biographical Afterword): A Novel,"he understood and shared their life, which was not guided by thoughts and insight, but solely by urges and wishes, he felt like them"
6/11/23,Siddhartha (with Biographical Afterword): A Novel,"for many long years, without a high goal, without thirst, without elevation, content with small lustful pleasures and yet never satisfied!"
6/11/23,Siddhartha (with Biographical Afterword): A Novel,"He did sense very well that this love, this blind love for his son, was a passion, something very human, that it was Sansara, a murky source, dark waters"
6/11/23,Siddhartha (with Biographical Afterword): A Novel,"Gotama, a me and a you, feeling in his innermost self as if he had been wounded by a divine arrow, the injury of which tasted sweet, being enchanted and dissolved in his innermost self"
6/11/23,Siddhartha (with Biographical Afterword): A Novel,"Still, even in the deepest meditation, he had been his fathers son, had been a Brahman, of a high caste, a cleric. Now, he was nothing but Siddhartha, the awoken one, nothing else was left"
6/11/23,Siddhartha (with Biographical Afterword): A Novel,"But Im only interested in being able to love the world, not to despise it, not to hate it and me, to be able to look upon it and me and all beings with love and admiration and great respect"
6/11/23,Siddhartha (with Biographical Afterword): A Novel,"Knowledge can be conveyed, but not wisdom. It can be found, it can be lived, it is possible to be carried by it, miracles can be performed with it, but it cannot be expressed in words and taught"
6/11/23,Siddhartha (with Biographical Afterword): A Novel,"This are things, and things can be loved. But I cannot love words. Therefore, teachings are no good for me, they have no hardness, no softness, no colours, no edges, no smell, no taste, they have nothing but words"
6/11/23,Siddhartha (with Biographical Afterword): A Novel,"A heron flew over the bamboo forest—and Siddhartha accepted the heron into his soul, flew over forest and mountains, was a heron, ate fish, felt the pangs of a herons hunger, spoke the herons croak, died a herons death"
6/11/23,Siddhartha (with Biographical Afterword): A Novel,"But is that what you call `things, actually something real, something which has existence? Isnt it just a deception of the Maja, just an image and illusion? Your stone, your tree, your river—are they actually a reality?"
6/11/23,Siddhartha (with Biographical Afterword): A Novel,"Dont you force him, the arrogant and pampered boy, to live in a hut with two old banana-eaters, to whom even rice is a delicacy, whose thoughts cant be his, whose hearts are old and quiet and beats in a different pace than his?"
6/11/23,Siddhartha (with Biographical Afterword): A Novel,"Time is not real, Govinda, I have experienced this often and often again. And if time is not real, then the gap which seems to be between the world and the eternity, between suffering and blissfulness, between evil and good, is also a deception"
6/11/23,Siddhartha (with Biographical Afterword): A Novel,"He felt: This had been the last tremor of the awakening, the last struggle of this birth. And it was not long until he walked again in long strides, started to proceed swiftly and impatiently, heading no longer for home, no longer to his father, no longer back"
6/11/23,Siddhartha (with Biographical Afterword): A Novel,"Often, I have thought of this. But look, how shall I put him, who had no tender heart anyhow, into this world? Wont he become exuberant, wont he lose himself to pleasure and power, wont he repeat all of his fathers mistakes, wont he perhaps get entirely lost in Sansara?"
6/11/23,Siddhartha (with Biographical Afterword): A Novel,"This too, spoke Siddhartha, I do not care very much about. Let the things be illusions or not, after all I would then also be an illusion, and thus they are always like me. This is what makes them so dear and worthy of veneration for me: they are like me. Therefore, I can love them"
6/11/23,Siddhartha (with Biographical Afterword): A Novel,"May his teachings be strange, may his words sound foolish; out of his gaze and his hand, his skin and his hair, out of every part of him shines a purity, shines a calmness, shines a cheerfulness and mildness and holiness, which I have seen in no other person since the final death of our exalted teacher.)"
6/11/23,Siddhartha (with Biographical Afterword): A Novel,"The world, my friend Govinda, is not imperfect, or on a slow path towards perfection: no, it is perfect in every moment, all sin already carries the divine forgiveness in itself, all small children already have the old person in themselves, all infants already have death, all dying people the eternal life"
6/11/23,Siddhartha (with Biographical Afterword): A Novel,"While he was still speaking, still admitting and confessing, Siddhartha felt more and more that this was no longer Vasudeva, no longer a human being, who was listening to him, that this motionless listener was absorbing his confession into himself like a tree the rain, that this motionless man was the river itself, that he was God himself, that he was the eternal itself"
6/11/23,Siddhartha (with Biographical Afterword): A Novel,"I have experienced on my body and on my soul that I needed sin very much, I needed lust, the desire for possessions, vanity, and needed the most shameful despair, in order to learn how to give up all resistance, in order to learn how to love the world, in order to stop comparing it to some world I wished, I imagined, some kind of perfection I had made up, but to leave it as it is and to love it and to enjoy being a part of it.—These"
6/11/23,Siddhartha (with Biographical Afterword): A Novel,"This stone is just a stone, it is worthless, it belongs to the world of the Maja; but because it might be able to become also a human being and a spirit in the cycle of transformations, therefore I also grant it importance. Thus, I would perhaps have thought in the past. But today I think: this stone is a stone, it is also animal, it is also god, it is also Buddha, I do not venerate and love it because it could turn into this or that, but rather because it is already and always"
6/11/23,Siddhartha (with Biographical Afterword): A Novel,"When someone is searching, said Siddhartha, then it might easily happen that the only thing his eyes still see is that what he searches for, that he is unable to find anything, to let anything enter his mind, because he always thinks of nothing but the object of his search, because he has a goal, because he is obsessed by the goal. Searching means: having a goal. But finding means: being free, being open, having no goal. You, oh venerable one, are perhaps indeed a searcher, because, striving for your goal, there are many things you dont see, which are directly in front of your eyes"
6/11/23,Siddhartha (with Biographical Afterword): A Novel,"Then, Siddhartha had spent the night in his house with dancing girls and wine, had acted as if he was superior to them towards the fellow-members of his caste, though this was no longer true, had drunk much wine and gone to bed a long time after midnight, being tired and yet excited, close to weeping and despair, and had for a long time sought to sleep in vain, his heart full of misery which he thought he could not bear any longer, full of a disgust which he felt penetrating his entire body like the lukewarm, repulsive taste of the wine, the just too sweet, dull music, the just too soft smile of the dancing girls, the just too sweet scent of their hair and breasts"
6/11/23,Siddhartha (with Biographical Afterword): A Novel,"He was open to everything, these people brought his way. Welcome was the merchant who offered him linen for sale, welcome was the debtor who sought another loan, welcome was the beggar who told him for one hour the story of his poverty and who was not half as poor as any given Samana. He did not treat the rich foreign merchant any different than the servant who shaved him and the street-vendor whom he let cheat him out of some small change when buying bananas. When Kamaswami came to him, to complain about his worries or to reproach him concerning his business, he listened curiously and happily, was puzzled by him, tried to understand him, consented that he was a little bit right, only as much as he considered indispensable, and turned away from him, towards the next person who would ask for him. And there were many who came to him, many to do business with him, many to cheat him, many to draw some secret out of him, many to appeal to his sympathy, many to get his advice. He gave advice, he pitied, he made gifts, he let them cheat him a bit, and this entire game and the passion with which all people played this game occupied his thoughts just as much as the gods and Brahmans used to occupy them"
6/10/23,The Most Important Thing: Discovering Truth at the Heart of Life,intention and grace
6/10/23,The Most Important Thing: Discovering Truth at the Heart of Life,letting go of the known
6/10/23,The Most Important Thing: Discovering Truth at the Heart of Life,living feeling of meaning
6/10/23,The Most Important Thing: Discovering Truth at the Heart of Life,Meditation is the relinquishing of agenda
6/10/23,The Most Important Thing: Discovering Truth at the Heart of Life,noticing the contents of our mind and of our consciousness
6/10/23,The Most Important Thing: Discovering Truth at the Heart of Life,"experience of being extraordinarily alive, here, and present"
6/10/23,The Most Important Thing: Discovering Truth at the Heart of Life,religion is here to protect us from the truly religious experience
6/10/23,The Most Important Thing: Discovering Truth at the Heart of Life,let anyones opinion get in the way of his expression of love and joy
6/10/23,The Most Important Thing: Discovering Truth at the Heart of Life,oriented toward an awareness of what I call the most important thing
6/10/23,The Most Important Thing: Discovering Truth at the Heart of Life,"However, meditation has nothing whatsoever to do with controlling your mind"
6/10/23,The Most Important Thing: Discovering Truth at the Heart of Life,to be present to everything instead of to a few chosen things that you consider important
6/10/23,The Most Important Thing: Discovering Truth at the Heart of Life,"What would it mean not to be at war with our minds, with our feelings, and with ourselves?"
6/10/23,The Most Important Thing: Discovering Truth at the Heart of Life,"Willful thinking means intentionally engaging the process of thinking. There is a time to do that, but meditation is not that time"
6/10/23,The Most Important Thing: Discovering Truth at the Heart of Life,"Action is the second part of this process—doing something about the most important thing, not just thinking about and hoping for it"
